pristine,,,,,,,,,,,,blackMass,,,,,,,,,,,
chargeCycle1,,,dischargeCycle1,,,chargeCycle30,,,dischargeCycle30,,,chargeCycle1,,,dischargeCycle1,,,chargeCycle30,,,dischargeCycle30,,
testTime/min,voltage/V,specificCapacity/mAh/g,testTime/min,voltage/V,specificCapacity/mAh/g,testTime/min,voltage/V,specificCapacity/mAh/g,testTime/min,voltage/V,specificCapacity/mAh/g,testTime/min,voltage/V,specificCapacity/mAh/g,testTime/min,voltage/V,specificCapacity/mAh/g,testTime/min,voltage/V,specificCapacity/mAh/g,testTime/min,voltage/V,specificCapacity/mAh/g
0,2.589323282,0.000205484,0,0.038899139,0.000200144,0,0.690986872,0.00019526,0,0.034705076,0.000205499,0,2.452530146,0.00020549,0,0.045585059,0.000201845,0,1.655404568,0.000206311,0,0.033519078,0.000205374
10,0.39533788,6.167894943,10,0.100852251,6.167855284,10,0.31024608,6.168017955,10,0.0939852,6.167835118,10,1.008799076,6.20871211,10,0.116184495,6.208818623,10,0.541960955,6.208870682,10,0.088571161,6.208818024
20,0.225967392,12.33559764,20,0.111023381,12.3355237,20,0.198415458,12.33583963,20,0.10486313,12.33546723,20,0.790856957,12.4172112,20,0.123020053,12.41744098,20,0.359736621,12.41753791,20,0.102757424,12.4174302
30,0.156281069,18.50331042,30,0.113387793,18.50319077,30,0.192006782,18.50366802,30,0.108423084,18.50309397,30,0.537995636,18.62571327,30,0.127165332,18.62606273,30,0.260048985,18.62620395,30,0.106994629,18.62602922
40,0.153535441,24.67102589,40,0.114245147,24.67085112,40,0.186128393,24.67149104,40,0.109914564,24.67072205,40,0.322906286,24.83420458,40,0.131381184,24.83468089,40,0.201633975,24.8348652,40,0.10874556,24.83462106
50,0.148407608,30.83874673,50,0.11492525,30.83851281,50,0.174215853,30.83930868,50,0.110754177,30.83833804,50,0.190643534,31.04269349,50,0.135829657,31.04330384,50,0.191099435,31.04352644,50,0.109937549,31.04321528
60,0.138860255,37.00645413,60,0.115560859,37.00619063,60,0.156631872,37.00712901,60,0.11133118,37.00596209,60,0.142782718,37.25120874,60,0.140538454,37.2519244,60,0.183915541,37.25219487,60,0.111457296,37.25179755
70,0.126837969,43.1741696,70,0.116252825,43.17384157,70,0.139039725,43.17495472,70,0.111867413,43.17357538,70,0.1282942,43.45975031,70,0.145353884,43.46054496,70,0.176476657,43.46085612,70,0.112541802,43.46035348
80,0.11500483,49.34188507,80,0.11703749,49.34150326,80,0.124896295,49.34277774,80,0.112323523,49.34118599,80,0.11944171,49.6682847,80,0.149705991,49.66916552,80,0.167079285,49.66951497,80,0.113662623,49.66892616
90,0.103612207,55.50959247,90,0.117898554,55.50916226,90,0.113184787,55.51060345,90,0.11280708,55.50880197,90,0.110633738,55.87682387,90,0.152811393,55.87779086,90,0.154211193,55.87817383,90,0.114924319,55.87750843
100,0.095360532,61.677316,100,0.118864939,61.67682127,100,0.108223088,61.67844529,100,0.11331363,61.67641257,100,0.100049615,62.08535826,100,0.15497449,62.08641621,100,0.14060998,62.08683268,100,0.116142996,62.08608111
110,0.091577336,67.84501265,110,0.119921058,67.84448027,110,0.104762517,67.84629788,110,0.113883957,67.84402318,110,0.090132676,68.29389744,110,0.156655729,68.29504634,110,0.128906503,68.29549632,110,0.11743135,68.29463465
120,0.089400575,74.01270929,120,0.121129997,74.01212852,120,0.103541009,74.01413434,120,0.114518821,74.01163916,120,0.084132709,74.50243662,120,0.158245057,74.5036669,120,0.118160777,74.50416475,120,0.118847214,74.50317862
130,0.088413425,80.18040594,130,0.122562148,80.17978752,130,0.102685131,80.18198156,130,0.115273833,80.17928203,130,0.08021798,80.7109758,130,0.160090998,80.71228745,130,0.111012526,80.71283318,130,0.120296553,80.71174173
140,0.087829001,86.34811872,140,0.124294661,86.34745728,140,0.101831488,86.34982878,140,0.116171986,86.34694641,140,0.076490797,86.91951976,140,0.162173286,86.92089844,140,0.106832407,86.92148246,140,0.121847332,86.92028569
150,0.087287597,92.51579923,150,0.126504064,92.51514317,150,0.100862138,92.51765986,150,0.117280021,92.51460542,150,0.072635368,93.12808287,150,0.164489836,93.129519,150,0.104908749,93.13015089,150,0.123538941,93.12882008
160,0.086680181,98.68350126,160,0.129399508,98.68282369,160,0.099740759,98.68549095,160,0.118634284,98.68225367,160,0.068599075,99.33665556,160,0.167054698,99.33813955,160,0.103297941,99.33881932,160,0.12522909,99.33729703
170,0.085920714,104.8512355,170,0.133181259,104.8505257,170,0.098355338,104.8533435,170,0.12032605,104.8499127,170,0.064609483,105.5452187,170,0.169858277,105.5467505,170,0.10163597,105.5474973,170,0.127023742,105.5457835
180,0.084882401,111.0189806,180,0.13765642,111.018217,180,0.096550889,111.0211746,180,0.122542866,111.0175609,180,0.061113589,111.7538105,180,0.172903627,111.7553711,180,0.099856876,111.7561753,180,0.128963709,111.7542796
190,0.083466575,117.1867149,190,0.14188911,117.1858867,190,0.094127893,117.188995,190,0.125452384,117.1852092,190,0.058588773,117.9623736,190,0.176107511,117.9639917,190,0.097917669,117.9648533,190,0.130974948,117.9627853
200,0.081493765,123.3544492,200,0.145016685,123.3535565,200,0.090493031,123.3568153,200,0.129285291,123.3528574,200,0.056656986,124.1709367,200,0.179470763,124.1726122,200,0.095825762,124.1735313,200,0.133047611,124.1713006
210,0.078518987,129.522205,210,0.147031769,129.521237,210,0.084576838,129.5246141,210,0.133892491,129.5204842,210,0.054969825,130.3795094,210,0.183034271,130.3812232,210,0.093595229,130.3821902,210,0.135464206,130.3798062
220,0.073965952,135.68995,220,0.14832744,135.6889175,220,0.075708106,135.6924129,220,0.138780773,135.6881324,220,0.05327896,136.5880917,220,0.187078029,136.5898342,220,0.091273516,136.5908586,220,0.137874871,136.588331
230,0.067713045,141.8576951,230,0.149275303,141.8565873,230,0.070739746,141.8602225,230,0.142844364,141.8557699,230,0.051384978,142.7966548,230,0.19192028,142.7984356,230,0.088853218,142.7995175,230,0.140367955,142.796875
240,0.061876211,148.0254401,240,0.150105983,148.0242678,240,0.069495991,148.0280321,240,0.145735353,148.0234289,240,0.049278989,149.0052371,240,0.198111579,149.0070466,240,0.086335808,149.0081763,240,0.14269191,149.005419
250,0.059143949,154.1932067,250,0.150938123,154.1919268,250,0.069088817,154.1958309,250,0.147615463,154.1910664,250,0.047064044,155.2138193,250,0.205782637,155.2156671,250,0.083664954,155.2168543,250,0.144641489,155.2139629
260,0.058104146,160.3609517,260,0.15186891,160.3596181,260,0.068849266,160.363619,260,0.14897196,160.3587039,260,0.044629663,161.422392,260,0.215473726,161.4242877,260,0.08086364,161.4255132,260,0.146335348,161.4225069
270,0.057607975,166.528686,270,0.152870148,166.5272986,270,0.068647534,166.531407,270,0.150023669,166.5263306,270,0.042052224,167.6309934,270,0.227081075,167.6328891,270,0.078018583,167.6341912,270,0.147973597,167.63107
280,0.057272006,172.6964203,280,0.154093876,172.6949791,280,0.068382762,172.6991843,280,0.150975212,172.6939789,280,0.039239801,173.8395948,280,0.235204369,173.8415097,280,0.075032689,173.84285,280,0.149639279,173.8396331
290,0.056962732,178.8641761,290,0.155537158,178.8626704,290,0.068016388,178.8669616,290,0.15191786,178.8616056,290,0.036347315,180.0481962,290,0.24365826,180.0501111,290,0.072185412,180.0515089,290,0.151352525,180.0481962
300,0.056663845,185.0319211,300,0.157394275,185.0303724,300,0.067628503,185.0347174,300,0.153041467,185.0292323,300,0.033350311,186.2567785,300,0.253780097,186.2587125,300,0.070733234,186.2601677,300,0.15314573,186.2567785
310,0.056333806,191.1996877,310,0.159896627,191.1980529,310,0.067143455,191.202484,310,0.154411316,191.1968913,310,0.030358499,192.4653608,310,0.271084517,192.467333,310,0.069803663,192.4688266,310,0.155084938,192.4653608
320,0.055931088,197.3674327,320,0.163526356,197.3657334,320,0.066650249,197.370229,320,0.156135663,197.3645504,320,0.027451193,198.6739622,320,0.308535486,198.6759153,320,0.068800703,198.6774472,320,0.15706493,198.6739047
330,0.055468302,203.5351778,330,0.169025749,203.5334354,330,0.06605693,203.5379741,330,0.158330232,203.5322309,330,0.024652118,204.8825636,330,0.360162288,204.8845358,330,0.067707308,204.886106,330,0.159194648,204.8824678
340,0.05487423,209.7029443,340,0.176340029,209.7011159,340,0.065423556,209.7056976,340,0.161272451,209.6998684,340,0.021848591,211.0911841,340,0.413580239,211.0931373,340,0.066478997,211.0947649,340,0.161410496,211.0910501
350,0.054158527,215.8707109,350,0.185209587,215.868818,350,0.064619601,215.8734212,350,0.165148363,215.8675489,350,0.018936099,217.2997855,350,0.465389878,217.3017195,350,0.065163225,217.3034046,350,0.163739651,217.2996324
360,0.05326039,222.0384774,360,0.199122414,222.03652,360,0.063700683,222.0411447,360,0.170360044,222.0352509,360,0.015747851,223.5083869,360,0.518686235,223.5103209,360,0.063687325,223.512006,360,0.166240022,223.5082146
370,0.052114528,228.2062655,370,0.216556713,228.2042005,370,0.062600806,228.2088897,370,0.176802084,228.2029099,370,0.011573703,229.7169692,370,0.590928495,229.7189032,370,0.062148415,229.7206648,370,0.168930173,229.7167969
380,0.050605256,234.374032,380,0.230508909,234.3719025,380,0.061325159,234.3765918,380,0.184259534,234.3705904,380,0.005150515,235.9255898,380,0.695134223,235.9274854,380,0.060503505,235.9293045,380,0.171961457,235.9253983
