frequency/Ohms,zRe/Ohms,zIm/Ohms
1000000,2.396065761,-0.523176819
794328.3125,2.165789193,-1.514253578
630957.375,1.326778253,-1.416808086
501187.1875,-1.016371927,-1.528738304
398107.1875,0.819777217,-0.995486393
316227.8125,1.036624989,-0.523856349
251188.5938,1.074219311,-0.30946927
199526.2031,1.124629025,-0.062934878
158489.2969,1.038574453,0.01079437
125892.5,1.094823767,0.235436922
100000,1.163550689,0.488023759
79432.82031,1.249222774,0.744964547
63095.73047,1.321172339,1.026362072
50118.71875,1.403321724,1.298342674
39810.71875,1.498308607,1.597272048
31622.7793,1.622412499,1.958029302
25118.86914,1.782617027,2.377437204
19952.61914,1.973476922,2.870583756
15848.92969,2.215172083,3.447751164
12589.25,2.509139359,4.104079852
10000,2.886928925,4.898718623
7943.282227,3.42556874,5.892351562
6309.573242,4.043461396,6.968236534
5011.873047,4.874319865,8.222117838
3981.072021,5.930324959,9.615390292
3162.278076,7.152147642,11.09363693
2511.885986,8.850906634,12.82678484
1995.261963,10.62760272,14.40537088
1584.892944,13.00527651,16.1483374
1258.925049,15.65624263,17.77075666
1000,18.58934489,19.27544014
794.328186,21.71766745,20.72755164
630.9572754,25.3354632,22.1324629
501.1871948,28.95981193,23.14573449
398.1072083,32.71914227,24.06032474
316.2278137,37.07553657,24.86194834
251.1885986,40.97531517,25.34070135
199.5261993,45.37300136,25.48511113
158.4893036,49.88627318,25.35150251
125.8925018,53.834691,24.93433746
100,57.84978252,24.37695229
79.43282318,62.12884091,23.85575641
63.09572983,65.14317484,22.98183251
50.11872101,68.64629351,21.93762203
39.81071854,72.02687082,20.95227932
31.62277985,74.7253943,19.89361046
25.11886024,77.44855212,18.76512814
19.95261955,79.82981727,17.84898352
15.84893036,81.84519651,17.03689663
12.58924961,83.88583144,16.54227887
10,85.63595014,16.14635849
7.943282127,87.41394109,15.89793007
6.309574127,88.84710019,16.06725827
5.011871815,90.23950681,16.62889901
3.981071949,91.46849552,17.47714794
3.162277937,92.59129904,18.84968901
2.511885881,93.66883143,21.00015573
1.995262027,94.38504377,23.69440874
1.584892988,95.63162673,27.05810128
1.258924961,96.58520995,31.64098878
1,97.60884328,37.03139717
0.794328213,99.23152363,44.02035006
0.630957425,100.9577949,53.0669589
0.501187205,103.1380706,63.72038517
0.398107201,106.3387133,77.22689611
0.316227794,110.1126846,93.6265623
0.251188606,115.0874492,113.7027561
0.199526206,121.2855568,138.2645699
0.158489302,128.3411757,168.3614134
0.125892505,136.7003956,204.6893509
0.100000001,146.8522422,249.9710707
0.079432823,161.528516,305.2559297
0.063095734,176.8208127,369.7373243
0.050118718,196.0286494,451.1029884
0.039810721,221.3317438,550.6323566
0.031622771,251.9038217,676.1475777
0.025118871,291.4282199,818.8441545
0.019952619,339.989674,999.9593191
0.015848931,401.4275798,1220.665762
0.01258925,477.7819069,1492.308152
0.01,574.6588065,1823.884623
